date,latitude,longitude,depth_km,magnitude,location
2024-12-22T16:11:20,37.8363,36.4532,8.9,2.0,GEBEN-ANDIRIN (KAHRAMANMARAS) İlksel
2024-12-22T15:57:52,38.4443,39.2727,5.8,1.8,DUZBAHCE-SIVRICE (ELAZIG) İlksel
2024-12-22T15:08:12,40.8417,27.9512,8.1,3.6,MARMARA EREGLISI ACIKLARI-TEKIRDAG (MARMARA DENIZIİlksel
2024-12-22T14:53:06,34.2837,25.1728,10.4,3.9,GIRIT ADASI ACIKLARI (AKDENIZ) İlksel
2024-12-22T14:28:20,38.3102,38.8427,8.1,1.7,GUNDEGER-PUTURGE (MALATYA) İlksel
2024-12-22T13:55:59,37.7478,35.5892,5.4,1.3,KAPIKAYA-KOZAN (ADANA) İlksel
2024-12-22T13:47:24,38.238,37.2573,20.8,1.6,CITLIK-ELBISTAN (KAHRAMANMARAS) İlksel
2024-12-22T13:01:06,37.9562,36.3317,2.1,2.3,SIRMALI-GOKSUN (KAHRAMANMARAS) İlksel
2024-12-22T13:00:21,39.4945,28.1363,8.2,2.1,ISKELE-BIGADIC (BALIKESIR) İlksel
2024-12-22T12:46:34,38.512,26.869,5.4,2.1,IZMIR KORFEZI (EGE DENIZI) İlksel
2024-12-22T12:42:43,40.7682,33.6147,3.6,3.2,AHLATKOY-(CANKIRI) İlksel
2024-12-22T12:07:36,38.7725,40.0195,9.6,2.6,SARIBUGDAY-KOVANCILAR (ELAZIG) İlksel
2024-12-22T12:02:40,37.1067,27.8708,0.0,1.8,BAYIRKOY-MILAS (MUGLA) İlksel
2024-12-22T11:54:34,36.2465,28.947,14.0,2.3,AKDENIZ İlksel
2024-12-22T11:16:38,37.6715,35.7473,1.6,1.7,YANALERIK-KOZAN (ADANA) İlksel
2024-12-22T11:03:33,37.6388,35.9248,4.1,2.3,CURUKLU-KOZAN (ADANA) İlksel
2024-12-22T10:40:41,39.079,40.1278,6.6,2.0,SARIBASAK-KARAKOCAN (ELAZIG) İlksel
2024-12-22T09:55:50,36.0032,27.1865,10.5,1.9,AKDENIZ İlksel
2024-12-22T09:32:53,38.184,38.5862,13.4,1.8,SOGUTLU-PUTURGE (MALATYA) İlksel
2024-12-22T08:50:13,38.1048,38.4475,8.6,1.5,KARAGOL-CELIKHAN (ADIYAMAN) İlksel
2024-12-22T08:45:32,37.8167,36.5322,5.0,2.6,KUMARLI-(KAHRAMANMARAS) İlksel
2024-12-22T08:09:17,36.3898,36.2658,5.6,2.4,OVAKENT-(HATAY) İlksel
2024-12-22T07:53:03,38.0862,37.0153,27.4,1.4,CALIS-ELBISTAN (KAHRAMANMARAS) İlksel
2024-12-22T07:50:30,37.6838,27.636,11.9,1.8,ESENTEPE-KOCARLI (AYDIN) İlksel
2024-12-22T07:03:09,39.0673,28.0442,5.2,1.4,KOCAKAGAN-AKHISAR (MANISA) İlksel
2024-12-22T04:45:41,35.8797,35.9895,20.0,2.3,YAYLADAGI (HATAY) İlksel
2024-12-22T04:19:37,35.6413,30.8427,11.2,2.2,AKDENIZ İlksel
2024-12-22T03:34:19,38.2983,31.1645,7.9,2.5,YALVAC (ISPARTA) İlksel
2024-12-22T03:29:00,36.5525,26.8417,26.5,2.4,AKDENIZ İlksel
2024-12-22T02:57:39,38.5007,28.2232,10.5,1.5,KARAOGLANLI-SALIHLI (MANISA) İlksel
2024-12-22T02:56:08,36.9705,36.3455,12.4,2.0,KULLU-(OSMANIYE) İlksel
2024-12-22T02:05:15,38.1075,38.4503,15.0,1.4,KARAGOL-CELIKHAN (ADIYAMAN) İlksel
2024-12-22T01:54:22,37.0838,28.5267,19.5,1.7,CICEKLI-ULA (MUGLA) İlksel
2024-12-22T01:23:14,40.4113,28.8383,5.2,1.7,KUMYAKA-MUDANYA (BURSA) İlksel
2024-12-22T01:10:50,37.4753,35.5158,18.1,1.5,DOGANALANI-KOZAN (ADANA) İlksel
2024-12-22T00:55:09,38.3902,37.4848,5.0,1.5,YALINTAS-ELBISTAN (KAHRAMANMARAS) İlksel
