date,latitude,longitude,depth,magnitude,location
2019-08-01T18:28:00,-34.2364,-72.3102,25,6.8,"San Antonio, Chile"
2019-07-31T15:02:00,-16.1985,167.998,181,6.6,"Lakatoro, Vanuatu"
2019-07-14T09:10:00,-0.5858,128.034,18.98,7.2,"Laiwui, Indonesia"
2019-07-14T05:39:00,-18.2242,120.358,10,6.6,"Broome, Australia"
2019-07-07T15:08:00,0.5126,126.189,35,6.9,"Kota Ternate, Indonesia"
2019-07-06T03:19:00,35.7695,-117.599,8,7.1,"Searles Valley, CA"
2019-06-24T02:53:00,-6.4078,129.169,212,7.3,"Saumlaki, Indonesia"
2019-06-15T22:55:00,-30.6441,-178.1,46,7.3,"L'Esperance Rock, New Zealand"
2019-05-30T09:03:00,13.1994,-89.3056,57.92,6.6,"La Libertad, El Salvador"
2019-05-26T07:41:00,-5.8119,-75.2697,122.57,8,"Navarro, Peru"
2019-05-14T12:58:00,-4.051,152.597,10,7.6,"Namatanai, Papua New Guinea"
2019-05-06T21:19:00,-6.9746,146.449,146,7.1,"Bulolo, Papua New Guinea"
2019-04-12T11:40:00,-1.8146,122.58,15.46,6.8,"Luwuk, Indonesia"
2019-04-09T17:53:00,-58.6262,-25.304,38,6.5,"Bristol Island, South Sandwich Islands"
2019-03-01T08:50:00,-14.7131,-70.1546,267,7,"Azángaro, Peru"
2019-02-22T10:17:00,-2.1862,-77.0505,145,7.5,"Palora, Ecuador"
2019-02-01T16:14:00,14.6802,-92.4527,66,6.7,"Puerto Madero, Mexico"
2019-01-22T19:01:00,-43.1219,42.3568,13,6.7,Prince Edward Islands region
2019-01-20T01:32:00,-30.0404,-71.3815,63,6.7,"Coquimbo, Chile"
2019-01-15T18:06:00,-13.336,166.875,35,6.6,"Sola, Vanuatu"
2019-01-06T17:27:00,2.258,126.758,43.21,6.6,Molucca Sea
2019-01-05T19:25:00,-8.144,-71.587,570.41,6.8,"Tarauaca, Brazil"
2018-12-29T03:39:00,5.8983,126.921,60.21,7,"Pondaguitan, Philippines"
2018-12-20T17:01:00,55.0999,164.699,16.56,7.3,"Ust’-Kamchatsk Staryy, Russia"
2018-12-11T02:26:00,-58.5446,-26.3856,133,7.1,South Sandwich Islands region
2018-12-05T06:43:00,-22.0629,169.733,10,6.6,"Tadine, New Caledonia"
2018-12-05T04:18:00,-21.9496,169.427,10,7.5,"Tadine, New Caledonia"
2018-11-30T17:29:00,61.3464,-149.955,46.7,7.1,"Point MacKenzie, Alaska"
2018-11-18T20:25:00,-17.8735,-178.927,540,6.8,"Levuka, Fiji"
2018-11-09T01:49:00,71.6312,-11.2431,10,6.7,"Olonkinbyen, Svalbard and Jan Mayen"
2018-10-25T22:54:00,37.5203,20.5565,14,6.8,"Lithakiá, Greece"
2018-10-22T06:22:00,49.297,-129.724,10,6.5,"Port McNeill, Canada"
2018-10-22T06:16:00,49.3346,-129.289,10,6.8,"Port McNeill, Canada"
2018-10-22T05:39:00,49.2586,-129.412,10,6.5,"Port McNeill, Canada"
2018-10-16T01:03:00,-21.7427,169.522,17,6.5,"Tadine, New Caledonia"
2018-10-13T11:10:00,52.8549,153.243,461,6.7,"Ozernovskiy, Russia"
2018-10-10T23:16:00,49.2902,156.297,20,6.5,"Severo-Kuril’sk, Russia"
2018-10-10T20:48:00,-5.7012,151.205,39,7,"Kimbe, Papua New Guinea"
2018-09-30T10:52:00,-18.3604,-178.063,550,6.7,"Levuka, Fiji"
2018-09-28T10:02:00,-0.2559,119.846,20,7.5,"Palu, Indonesia"
2018-09-16T21:11:00,-25.415,178.199,576,6.5,the Fiji Islands
2018-09-10T04:19:00,-31.7447,-179.373,115,6.9,Kermadec Islands region
2018-09-09T19:31:00,-10.0207,161.503,68,6.5,"Kirakira, Solomon Islands"
2018-09-06T15:49:00,-18.4743,179.35,670.81,7.9,"Levuka, Fiji"
2018-09-05T18:07:00,42.6861,141.929,35,6.6,"Chitose, Japan"
2018-08-29T03:51:00,-22.0295,170.126,21.43,7.1,"Tadine, New Caledonia"
2018-08-24T09:04:00,-11.0355,-70.8284,630,7.1,"Iñapari, Peru"
2018-08-21T22:32:00,-16.0315,168.143,9,6.5,"Lakatoro, Vanuatu"
2018-08-21T21:31:00,10.7731,-62.9019,146.82,7.3,"Carúpano, Venezuela"
2018-08-19T14:56:00,-8.319,116.627,21,6.9,"Labuan Lombok, Indonesia"
2018-08-19T00:19:00,-18.1125,-178.153,600,8.2,"Levuka, Fiji"
2018-08-17T15:35:00,-7.3718,119.802,529,6.5,"Labuan Bajo, Indonesia"
2018-08-15T21:56:00,51.4234,-178.026,33.93,6.5,"Adak, Alaska"
2018-08-05T11:46:00,-8.2581,116.438,34,6.9,"Labuan Lombok, Indonesia"
2018-05-04T22:32:00,19.3182,-155,5.81,6.9,"Leilani Estates, Hawaii"
2018-04-02T13:40:00,-20.6588,-63.0058,559,6.8,"Boyuibe, Bolivia"
2018-03-29T21:25:00,-5.5321,151.5,35,6.9,"Kimbe, Papua New Guinea"
2018-03-26T09:51:00,-5.5024,151.402,40,6.7,"Kimbe, Papua New Guinea"
2018-03-08T17:39:00,-4.3762,153.2,22.86,6.8,"Kokopo, Papua New Guinea"
2018-03-06T14:13:00,-6.3043,142.612,20.49,6.7,"Tari, Papua New Guinea"
2018-02-25T17:44:00,-6.0699,142.754,25.21,7.5,"Tari, Papua New Guinea"
2018-02-16T23:39:00,16.3855,-97.9787,22,7.2,"Pinotepa de Don Luis, Mexico"
2018-01-23T09:31:00,56.0039,-149.166,14.06,7.9,"Chiniak, Alaska"
2018-01-14T09:18:00,-15.7675,-74.7092,39,7.1,"Atiquipa, Peru"
2018-01-10T02:51:00,17.4825,-83.52,19,7.5,"Barra Patuca, Honduras"
2017-12-15T16:47:00,-7.4921,108.174,90,6.5,"Kawalu, Indonesia"
2017-12-13T18:03:00,-54.2189,2.1628,17,6.5,Bouvet Island region
2017-11-19T22:43:00,-21.3246,168.671,10,7,"Tadine, New Caledonia"
2017-11-19T15:09:00,-21.5027,168.598,13,6.6,"Tadine, New Caledonia"
2017-11-13T02:28:00,9.5147,-84.4865,19.36,6.5,"Parrita, Costa Rica"
2017-11-12T18:18:00,34.9109,45.9592,19,7.3,"?alabja, Iraq"
2017-11-07T21:26:00,-4.2433,143.485,110.57,6.5,"Angoram, Papua New Guinea"
2017-11-04T09:00:00,-15.3197,-173.168,10,6.8,"Hihifo, Tonga"
2017-11-01T02:23:00,-21.6484,168.859,22,6.6,"Tadine, New Caledonia"
2017-10-31T00:42:00,-21.6971,169.148,24,6.7,"Tadine, New Caledonia"
2017-10-24T10:47:00,-7.2168,123.074,553.81,6.7,"Maumere, Indonesia"
2017-10-08T22:34:00,52.3909,176.769,119,6.5,"Attu Station, Alaska"
2017-09-19T18:14:00,18.5499,-98.4887,48,7.1,"Matzaco, Mexico"
2017-09-08T04:49:00,15.0222,-93.8993,47.39,8.2,"Chiapas, Mexico"
2017-08-08T13:19:00,33.1926,103.855,9,6.5,"Mawu, China"
2017-07-20T22:31:00,36.9293,27.4139,7,6.6,"Kos, Greece"
2017-07-17T23:34:00,54.4434,168.857,10,7.7,"Komandorskiye Ostrova, Russia region"
2017-07-11T07:00:00,-49.4837,164.016,10,6.6,"Auckland Islands, New Zealand region"
2017-07-06T08:03:00,11.1269,124.629,9,6.5,"Lim-oo, Philippines"
2017-06-22T12:31:00,13.7174,-90.9718,38.12,6.8,"Puerto San José, Guatemala"
2017-06-14T07:29:00,14.9091,-92.0092,93,6.9,"San Pablo, Guatemala"
2017-06-02T22:24:00,54.0312,170.92,5,6.8,"Attu Station, Alaska"
2017-05-29T14:35:00,-1.2923,120.431,12,6.6,"Poso, Indonesia"
2017-05-10T23:23:00,-56.414,-25.7432,15,6.5,South Sandwich Islands region
2017-05-09T13:52:00,-14.5884,167.377,169,6.8,"Port-Olry, Vanuatu"
2017-04-28T20:23:00,5.5043,125.066,26,6.9,"Burias, Philippines"
2017-04-24T21:38:00,-33.0375,-72.0617,28,6.9,"Valparaíso, Chile"
2017-04-03T17:40:00,-22.6784,25.1558,29,6.5,"Moijabana, Botswana"
2017-03-29T04:09:00,56.9401,162.786,17,6.6,"Ust’-Kamchatsk Staryy, Russia"
2017-02-24T17:28:00,-23.2593,-178.804,414.5,6.9,the Fiji Islands
2017-02-21T14:09:00,-19.2814,-63.9047,595.98,6.5,"Padilla, Bolivia"
2017-02-10T14:03:00,9.9071,125.452,15,6.5,"Mabua, Philippines"
2017-01-22T04:30:00,-6.2464,155.172,135,7.9,"Panguna, Papua New Guinea"
2017-01-19T23:04:00,-10.3506,161.335,36,6.5,"Kirakira, Solomon Islands"
2017-01-10T06:13:00,4.4782,122.617,627.17,7.3,"Tabiauan, Philippines"
2017-01-03T21:52:00,-19.3733,176.052,12,6.9,"Nadi, Fiji"
2016-12-25T14:22:00,-43.4064,-73.9413,38,7.6,"Quellón, Chile"
2016-12-21T00:17:00,-7.5082,127.921,152,6.7,"Lospalos, Timor Leste"
2016-12-17T10:51:00,-4.5049,153.522,94.54,7.9,"Kokopo, Papua New Guinea"
2016-12-09T19:10:00,-10.749,161.132,19.73,6.9,"Kirakira, Solomon Islands"
2016-12-08T21:56:00,-10.8416,161.314,12.26,6.5,"Kirakira, Solomon Islands"
2016-12-08T17:38:00,-10.6812,161.327,40,7.8,"Kirakira, Solomon Islands"
2016-12-08T14:49:00,40.4535,-126.194,8.45,6.6,"Ferndale, California"
2016-12-06T22:03:00,5.2834,96.1678,13,6.5,"Reuleuet, Indonesia"
2016-11-25T14:24:00,39.2732,73.9776,17,6.6,"Murghob, Tajikistan"
2016-11-24T18:43:00,11.9097,-88.8968,10,6.9,"Puerto El Triunfo, El Salvador"
2016-11-21T20:59:00,37.3931,141.387,9,6.9,"Namie, Japan"
2016-11-14T00:34:00,-42.6058,173.254,9,6.5,"Amberley, New Zealand"
2016-11-13T11:32:00,-42.3205,173.669,10,6.5,"Blenheim, New Zealand"
2016-11-13T11:02:00,-42.7373,173.054,15.11,7.8,"Amberley, New Zealand"
2016-10-30T06:40:00,42.8621,13.0961,8,6.6,"Preci, Italy"
2016-10-19T00:26:00,-4.8626,108.163,614,6.6,"Pamanukan, Indonesia"
2016-10-17T06:14:00,-6.0033,148.887,42,6.8,"Kandrian, Papua New Guinea"
2016-09-24T21:28:00,-19.7819,-178.244,596.4,6.9,Fiji region
2016-09-01T16:37:00,-37.3586,179.146,19,7,"Gisborne, New Zealand"
2016-08-31T03:11:00,-3.6849,152.792,476,6.8,"Rabaul, Papua New Guinea"
2016-08-24T10:34:00,20.9228,94.569,82,6.8,"Chauk, Myanmar"
2016-08-12T01:26:00,-22.4765,173.117,16.37,7.2,the Loyalty Islands
2016-07-29T21:18:00,18.5429,145.507,196,7.7,"Pagan region, Northern Mariana Islands"
2016-06-01T22:56:00,-2.0967,100.665,50,6.6,"Sungai Penuh, Indonesia"
2016-05-28T09:46:00,-56.2409,-26.9353,78,7.2,South Sandwich Islands region
2016-05-28T05:38:00,-21.9724,-178.204,405.69,6.9, 
2016-05-18T16:46:00,0.4947,-79.616,29.95,6.9,"Rosa Zarate, Ecuador"
2016-05-18T07:57:00,0.4261,-79.7899,16,6.7,"Muisne, Ecuador"
2016-04-28T19:33:00,-16.0429,167.379,24,7,"Norsup, Vanuatu"
2016-04-16T23:58:00,0.3819,-79.9218,20.59,7.8,"Muisne, Ecuador"
2016-04-15T16:25:00,32.7906,130.754,10,7,"Kumamoto, Japan"
2016-04-13T13:55:00,23.0944,94.8654,136,6.9,"Mawlaik, Myanmar"
2016-04-10T10:28:00,36.4725,71.1311,212,6.6,"Ashk?sham, Afghanistan"
2016-04-07T03:32:00,-13.9805,166.594,27.59,6.7,"Sola, Vanuatu"
2016-04-06T06:58:00,-14.0683,166.624,24,6.7,"Sola, Vanuatu"
2016-04-03T08:23:00,-14.3235,166.855,26,6.9,"Port-Olry, Vanuatu"
2016-03-02T12:49:00,-4.9521,94.3299,24,7.8,"Sumatra, Indonesia"
2016-01-30T03:25:00,53.9776,158.546,177,7.2,"Mil’kovo, Russia"
2016-01-24T10:30:00,59.6204,-153.339,125.6,7.1,"Pedro Bay, Alaska"
2016-01-21T18:06:00,18.8239,-106.934,10,6.6,"La Cruz de Loreto, Mexico"
2016-01-14T03:25:00,41.9723,142.781,46,6.7,"Shizunai-furukawach?, Japan"
2016-01-11T16:38:00,3.8965,126.862,13,6.5,"Sarangani, Philippines"
2016-01-03T23:05:00,24.8036,93.6505,55,6.7,"Imph?l, India"
2015-12-17T19:49:00,15.8015,-93.633,85,6.6,"Manuel Ávila Camacho (Ponte Duro), Mexico"
2015-12-09T10:21:00,-4.1064,129.508,21,6.9,"Amahai, Indonesia"
2015-12-07T07:50:00,38.2107,72.7797,22,7.2,"Murghob, Tajikistan"
2015-11-26T05:45:00,-9.1825,-71.2574,602.75,6.7,"Tarauacá, Brazil"
2015-11-24T22:50:00,-10.0598,-71.0184,620.56,7.6,"Iñapari, Peru"
2015-11-24T22:45:00,-10.5372,-70.9437,606.21,7.6,"Iñapari, Peru"
2015-11-18T18:31:00,-8.8994,158.422,12.59,6.8,"Buala, Solomon Islands"
2015-11-17T07:10:00,38.67,20.6,11,6.5,"Lefkáda, Greece"
2015-11-13T20:51:00,31.0009,128.873,12,6.7,"Makurazaki, Japan"
2015-11-11T02:46:00,-29.5097,-72.0585,10,6.9,"Coquimbo, Chile"
2015-11-11T01:54:00,-29.5067,-72.0068,12,6.9,"Coquimbo, Chile"
2015-11-08T16:47:00,6.8431,94.648,10,6.6,"Nicobar Islands, India region"
2015-11-07T07:31:00,-30.8796,-71.4519,46,6.8,"Ovalle, Chile"
2015-11-04T03:44:00,-8.3381,124.875,20,6.5,"Maubara, Timor Leste"
2015-10-26T09:09:00,36.5244,70.3676,231,7.5,"Hindu Kush region, Afghanistan"
2015-10-20T21:52:00,-14.8595,167.303,135,7.1,"Port-Olry, Vanuatu"
2015-09-24T15:53:00,-0.6212,131.262,18,6.6,"Sorong, Indonesia"
2015-09-21T17:40:00,-31.7275,-71.3792,35,6.6,"Illapel, Chile"
2015-09-17T04:10:00,-31.5173,-71.804,23,6.7,"Illapel, Chile"
2015-09-17T03:55:00,-31.4244,-71.6876,27,6.5,"Illapel, Chile"
2015-09-16T23:18:00,-31.5622,-71.4262,28.41,7,"Illapel, Chile"
2015-09-16T22:54:00,-31.5729,-71.6744,22.44,8.3,"Illapel, Chile"
2015-09-13T08:14:00,24.913,-109.623,10,6.7,"Topolobampo, Mexico"
2015-08-12T18:49:00,-9.3293,157.877,6.43,6.5,"Gizo, Solomon Islands"
